[Header]
; ACMS Data File (default extension .dat)
; Copyright 1999, Quantum Design, Inc. All rights reserved.
TITLE,Na1.9IrO3
FILEOPENTIME,37210026.02,03/07/2014,6:16 pm
BYAPP,ACMS,1.0,1.1
INFO,PPMS ACMS Option Version: 1.0.9 Build 14,APPNAME
INFO,HARMONICS,1
INFO,DCWb1131,Na1.9IrO3
INFO,mass (g) =,0.0467
INFO,,
INFO,,
INFO,,
INFO,,
INFO,,
INFO,,
INFO,,
INFO,,
DATATYPE,COMMENT,1
DATATYPE,TIME,2
FIELDGROUP,AC Mag,2,3,4,5,6,8,9,10,11,12
FIELDGROUP,DC Mag,2,3,4,7,8
STARTUPGROUP,All
STARTUPAXIS,X,2,LINEAR,AUTO
TIMEMODE,MINUTES,RELATIVE
PLOT_APPEARANCE,ALL,HORZ_GRID_ON,VERT_GRID_ON,MARKERS_AND_LINES
RECORDS,ALL_RECORDS
DATATYPE,TIME,2
DATATYPE,COMMENT,1
[Data]
Comment,Time Stamp (sec),Temperature (K),Magnetic Field (Oe),Frequency (Hz),Amplitude (Oe),M-DC (emu),M-Std.Dev. (emu),M' (emu),M'' (emu),Moment (emu),Phase (deg),Calcoil' (emu),Calcoil'' (emu),Calcoil (emu),CC Phase (deg),Count,Gain,Measure Type,Elapsed (sec),Sample Center (cm),Max.Signal (V),PPMS Status (code),DSP Status (code),Min.Temperature (K),Max.Temperature (K),Min.Field (Oe),Max.Field (Oe),DC Position (cm),PPMS Temperature (K),PPMS Position,Bridge 1 Resistance (ohms),Bridge 1 Excitation (uA),Bridge 2 Resistance (ohms),Bridge 2 Excitation (uA),Bridge 3 Resistance (ohms),Bridge 3 Excitation (uA),Bridge 4 Resistance (ohms),Bridge 4 Excitation (uA),Signal 1 Vin (V),Signal 2 Vin (V),Digital Inputs (code),Drive 1 Iout (mA),Drive 1 Ipower (watts),Drive 2 Iout (mA),Drive 2 Ipower (watts),Pressure (),Map 20 (),Map 21 (),Map 22 (),Map 23 (),Map 24 (),Map 25 (),Map 26 (),Map 27 (),Map 28 (),Map 29 ()
,37222591.25,1.7975027,10.092,10000,2.99843742042438,,0.122719120152632,,,,,,,,,,125,1,0,-0.176054710994559,0.000618489142196659,4374,0,1.7970427,1.7979627,10.092,10.092,,1.78785,,,,,,,,,,,,,,,,,,,,,,,1.7975027
,37222627.16,1.7962172,10.092,10000,2.99843742042438,,0.118932883608769,,,,,,,,,,125,1,0,-0.174935503664132,0.000618494763477091,4374,0,1.7962106,1.7962238,10.092,10.092,,1.7868,,,,,,,,,,,,,,,,,,,,,,,1.7962172
,37222661.20,1.7984811,10.092,10000,2.99843742042438,,0.119998542148627,,,,,,,,,,125,1,0,-0.179957098499792,0.000618465854034872,4374,0,1.7981261,1.7988361,10.092,10.092,,1.78805,,,,,,,,,,,,,,,,,,,,,,,1.7984811
,37222696.00,1.7970388,10.092,10000,2.99843742042438,,0.136051319084973,,,,,,,,,,125,1,0,-0.179021385374494,0.00061849422811705,4374,0,1.7966851,1.7973925,10.092,10.092,,1.7873,,,,,,,,,,,,,,,,,,,,,,,1.7970388
,37224814.92,1.98731265,9999.099,,,0.00428542130337945,0.000111322184931345,,,,,,,,,5,125,0,21.0420001298189,0.0347829246118735,5.98451075288673E-5,4373,0,1.9790691,1.9955562,9999.099,9999.099,0.0347829246118735,1.9652,,,,,,,,,,,,,,,,,,,,,,,1.98731265
,37224843.36,1.98485865,9999.099,,,0.00433628733414888,3.52302560800111E-5,,,,,,,,,5,125,0,21.3229996617883,0.0503006798262803,5.62649191447046E-5,4373,0,1.9744577,1.9952596,9999.099,9999.099,0.0503006798262803,1.96535,,,,,,,,,,,,,,,,,,,,,,,1.98485865
,37224871.21,1.98563805,9999.099,,,0.00432868991646879,3.70378401786917E-5,,,,,,,,,5,125,0,21.1829996667802,0.0445190379357835,5.73616749083401E-5,4373,0,1.9767988,1.9944773,9999.099,9999.099,0.0445190379357835,1.96685,,,,,,,,,,,,,,,,,,,,,,,1.98563805
,37225009.06,2.02245045,9999.099,,,0.00433430812171383,3.70820142524054E-5,,,,,,,,,5,125,0,7.232999894768,0.0445190379357835,5.71511061000002E-5,4370,0,2.0052996,2.0396013,9999.099,9999.099,0.0438466682344574,2.0124,,,,,,,,,,,,,,,,,,,,,,,2.02245045
,37225134.11,3.0497427,9999.099,,,0.00424718148926984,4.07561837169179E-5,,,,,,,,,5,125,0,6.76400035154074,0.0445190379357835,5.70136658679558E-5,4370,0,3.0487654,3.05072,9999.099,9999.099,0.0346822828265392,3.03155,,,,,,,,,,,,,,,,,,,,,,,3.0497427
,37225259.57,4.06071115,9999.099,,,0.00417740329583814,4.11137172794012E-5,,,,,,,,,5,125,0,6.74800013657659,0.0445190379357835,5.66217451056352E-5,4370,0,4.0417566,4.0796657,9999.099,9999.099,0.0354957683236855,4.0537,,,,,,,,,,,,,,,,,,,,,,,4.06071115
,37225381.52,5.0352571,9999.099,,,0.00410962771443175,4.11525809988691E-5,,,,,,,,,5,125,0,7.1229999884963,0.0445190379357835,5.66080875228282E-5,4370,0,5.0077672,5.062747,9999.099,9999.099,0.034989477362357,5.0106,,,,,,,,,,,,,,,,,,,,,,,5.0352571
,37225503.77,6.0357244,9999.099,,,0.00406075572301275,4.19691725632684E-5,,,,,,,,,5,125,0,6.95200036279857,0.0445190379357835,5.66862296421793E-5,4370,0,6.0094662,6.0619826,9999.099,9999.099,0.0336601928112661,6.03285,,,,,,,,,,,,,,,,,,,,,,,6.0357244
,37225624.02,7.03658435,9999.099,,,0.00401721561682975,4.19382696134932E-5,,,,,,,,,5,125,0,6.28000013530254,0.0445190379357835,5.67023075561166E-5,4370,0,7.0129356,7.0602331,9999.099,9999.099,0.0338359314689241,7.0369,,,,,,,,,,,,,,,,,,,,,,,7.03658435
,37225746.10,8.03236485,9999.099,,,0.00397484867322257,4.25090961707125E-5,,,,,,,,,5,125,0,6.63999994285405,0.0445190379357835,5.64943319597021E-5,4370,0,8.0082817,8.056448,9999.099,9999.099,0.033531517074409,8.0515,,,,,,,,,,,,,,,,,,,,,,,8.03236485
,37225867.22,9.03794,9999.099,,,0.00395491288222481,4.32558470409396E-5,,,,,,,,,5,125,0,7.1079999441281,0.0445190379357835,5.65123115623846E-5,4370,0,9.0065269,9.0693531,9999.099,9999.099,0.0294570022900507,9.05125,,,,,,,,,,,,,,,,,,,,,,,9.03794
,37225987.43,10.03708505,9999.099,,,0.0039269573175721,4.4017920487551E-5,,,,,,,,,5,125,0,7.01499979477376,0.0445190379357835,5.66193247745048E-5,4370,0,10.0120821,10.062088,9999.099,9999.099,0.0174568352390166,10.05535,,,,,,,,,,,,,,,,,,,,,,,10.03708505
,37226108.99,11.0464511,9999.099,,,0.00391121249720466,4.41765666969162E-5,,,,,,,,,5,125,0,7.01400025282055,0.0445190379357835,5.6649060271249E-5,4370,0,11.0186949,11.0742073,9999.099,9999.099,0.0160296987178425,11.06055,,,,,,,,,,,,,,,,,,,,,,,11.0464511
,37226228.97,12.0390563,9999.099,,,0.00391500790389594,4.36464876266373E-5,,,,,,,,,5,125,0,6.96699977852404,0.0445190379357835,5.64967522908324E-5,4370,0,12.0142307,12.0638819,9999.099,9999.099,0.0295144909932364,12.06565,,,,,,,,,,,,,,,,,,,,,,,12.0390563
,37226348.53,13.03723095,9999.099,,,0.00392015953804397,4.42749112636942E-5,,,,,,,,,5,125,0,6.68599961791188,0.0445190379357835,5.6416016959556E-5,4370,0,13.012187,13.0622749,9999.099,9999.099,0.0296451710263954,13.0502,,,,,,,,,,,,,,,,,,,,,,,13.03723095
,37226469.31,14.0367732,9999.099,,,0.00390589474126847,4.35989535120283E-5,,,,,,,,,5,125,0,6.52899986598641,0.0445190379357835,5.65757588141586E-5,4370,0,14.0117674,14.061779,9999.099,9999.099,0.0089961302303914,14.0561,,,,,,,,,,,,,,,,,,,,,,,14.0367732
,37226590.36,15.04004525,9999.099,,,0.00392637335061785,4.39981880437771E-5,,,,,,,,,5,125,0,7.15499978978187,0.0445190379357835,5.66972940130609E-5,4370,0,15.0125847,15.0675058,9999.099,9999.099,-0.00636689310470735,15.0676,,,,,,,,,,,,,,,,,,,,,,,15.04004525
,37226711.43,16.0456419,9999.099,,,0.0039584767248012,4.43517810148524E-5,,,,,,,,,5,125,0,7.18600004911423,0.0445190379357835,5.68791646094267E-5,4370,0,16.0162582,16.0750256,9999.099,9999.099,-0.0245688037126508,16.07615,,,,,,,,,,,,,,,,,,,,,,,16.0456419
,37226831.13,17.04226115,9999.099,,,0.00395770552241866,4.37645314475235E-5,,,,,,,,,5,125,0,6.90499988850206,0.0445190379357835,5.69408765446673E-5,4370,0,17.0134583,17.071064,9999.099,9999.099,-0.0137068805199107,17.0675,,,,,,,,,,,,,,,,,,,,,,,17.04226115
