'y-axis saved as y
'x,NN_StartingMaterials_Ba(NO3)2.raw
12.5458348,17
12.5644206,19
12.5830064,21
12.6015922,24
12.620178,20
12.6387638,27
12.6573496,12
12.6759354,19
12.6945212,11
12.713107,20
12.7316928,22
12.7502786,12
12.7688644,20
12.7874502,22
12.806036,20
12.8246218,18
12.8432076,19
12.8617934,10
12.8803792,22
12.898965,16
12.9175508,13
12.9361366,20
12.9547224,18
12.9733082,20
12.991894,14
13.0104798,18
13.0290656,15
13.0476514,17
13.0662372,19
13.084823,14
13.1034088,14
13.1219946,20
13.1405804,14
13.1591662,16
13.177752,23
13.1963378,18
13.2149236,18
13.2335094,16
13.2520952,14
13.270681,23
13.2892668,8
13.3078526,25
13.3264384,17
13.3450242,13
13.36361,15
13.3821958,19
13.4007816,22
13.4193674,13
13.4379532,18
13.456539,18
13.4751248,14
13.4937106,11
13.5122964,19
13.5308822,16
13.549468,11
13.5680538,14
13.5866396,20
13.6052254,20
13.6238112,14
13.642397,16
13.6609828,16
13.6795686,16
13.6981544,8
13.7167402,11
13.735326,11
13.7539118,15
13.7724976,16
13.7910834,19
13.8096692,9
13.828255,14
13.8468408,22
13.8654266,14
13.8840124,20
13.9025982,13
13.921184,8
13.9397698,21
13.9583556,10
13.9769414,17
13.9955272,19
14.014113,19
14.0326988,11
14.0512846,14
14.0698704,27
14.0884562,20
14.107042,11
14.1256278,12
14.1442136,21
14.1627994,13
14.1813852,12
14.199971,18
14.2185568,17
14.2371426,15
14.2557284,17
14.2743142,21
14.2929,15
14.3114858,20
14.3300716,20
14.3486574,13
14.3672432,16
14.385829,14
14.4044148,21
14.4230006,15
14.4415864,19
14.4601722,15
14.478758,14
14.4973438,22
14.5159296,20
14.5345154,16
14.5531012,13
14.571687,19
14.5902728,16
14.6088586,11
14.6274444,14
14.6460302,17
14.664616,12
14.6832018,19
14.7017876,15
14.7203734,16
14.7389592,22
14.757545,15
14.7761308,10
14.7947166,15
14.8133024,19
14.8318882,16
14.850474,17
14.8690598,21
14.8876456,17
14.9062314,13
14.9248172,15
14.943403,19
14.9619888,15
14.9805746,15
14.9991604,23
15.0177462,16
15.036332,12
15.0549178,18
15.0735036,23
15.0920894,14
15.1106752,18
15.129261,16
15.1478468,22
15.1664326,25
15.1850184,13
15.2036042,17
15.22219,18
15.2407758,13
15.2593616,14
15.2779474,14
15.2965332,15
15.315119,14
15.3337048,13
15.3522906,18
15.3708764,18
15.3894622,20
15.408048,16
15.4266338,12
15.4452196,20
15.4638054,21
15.4823912,13
15.500977,20
15.5195628,15
15.5381486,19
15.5567344,11
15.5753202,16
15.593906,23
15.6124918,15
15.6310776,13
15.6496634,19
15.6682492,16
15.686835,21
15.7054208,18
15.7240066,17
15.7425924,12
15.7611782,16
15.779764,19
15.7983498,23
15.8169356,22
15.8355214,19
15.8541072,12
15.872693,16
15.8912788,22
15.9098646,12
15.9284504,19
15.9470362,13
15.965622,21
15.9842078,19
16.0027936,15
16.0213794,27
16.0399652,18
16.058551,16
16.0771368,19
16.0957226,15
16.1143084,14
16.1328942,19
16.15148,15
16.1700658,25
16.1886516,17
16.2072374,16
16.2258232,21
16.244409,19
16.2629948,15
16.2815806,16
16.3001664,12
16.3187522,16
16.337338,15
16.3559238,18
16.3745096,17
16.3930954,22
16.4116812,17
16.430267,20
16.4488528,17
16.4674386,20
16.4860244,15
16.5046102,16
16.523196,12
16.5417818,13
16.5603676,16
16.5789534,12
16.5975392,14
16.616125,15
16.6347108,18
16.6532966,21
16.6718824,21
16.6904682,17
16.709054,13
16.7276398,10
16.7462256,20
16.7648114,13
16.7833972,19
16.801983,13
16.8205688,10
16.8391546,19
16.8577404,12
16.8763262,16
16.894912,15
16.9134978,17
16.9320836,19
16.9506694,18
16.9692552,12
16.987841,21
17.0064268,21
17.0250126,15
17.0435984,19
17.0621842,18
17.08077,15
17.0993558,19
17.1179416,12
17.1365274,19
17.1551132,15
17.173699,22
17.1922848,22
17.2108706,19
17.2294564,14
17.2480422,15
17.266628,19
17.2852138,11
17.3037996,12
17.3223854,8
17.3409712,19
17.359557,15
17.3781428,16
17.3967286,26
17.4153144,24
17.4339002,19
17.452486,17
