[Header]
TITLE, BaFe2S1.24Se1.76 and Ba0.9K0.1Fe2Se3 and Ba0.436K0.564Fe2Se3
FILEOPENTIME, 23307357.33, 9/27/2011, 9:16 PM
BYAPP, Resistivity, 2.0, 1.0
INFO, APPNAME, PPMS MultiVu Application, Release 1.5.0.19
INFO, BaFe2S1.24Se1.76, Sample1 Name
INFO, 1, Sample1 Cross Section
INFO, 1, Sample1 Length
INFO, Ohm, Sample1 Units
INFO, Ba0.9K0.1Fe2Se3, Sample2 Name
INFO, 1, Sample2 Cross Section
INFO, 1, Sample2 Length
INFO, Ohm, Sample2 Units
INFO, Ba0.436K0.564Fe2Se3, Sample3 Name
INFO, 1, Sample3 Cross Section
INFO, 1, Sample3 Length
INFO, Ohm, Sample3 Units
INFO, , Sample4 Name
INFO, 1, Sample4 Cross Section
INFO, 1, Sample4 Length
INFO, Ohm-m, Sample4 Units
FIELDGROUP, Resistivity,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41
STARTUPGROUP, Resistivity
STARTUPAXIS, X, 2, LINEAR, AUTO
STARTUPAXIS, Y1, 7, LINEAR, AUTO
STARTUPAXIS, Y2, 9, LINEAR, AUTO
STARTUPAXIS, Y3, 11, LINEAR, AUTO
PLOT_APPEARANCE, ALL, HORZ_GRID_ON, VERT_GRID_ON, MARKERS_AND_LINES, ALL_LINES
DATATYPE, TIME, 2
DATATYPE, COMMENT, 1
[Data]
Comment,Time Stamp (sec),Status (code),Temperature (K),Magnetic Field (Oe),Sample Position (deg),Bridge 1 Resistivity (Ohm),Bridge 1 Excitation (uA),Bridge 2 Resistivity (Ohm),Bridge 2 Excitation (uA),Bridge 3 Resistivity (Ohm),Bridge 3 Excitation (uA),Bridge 4 Resistivity (Ohm-m),Bridge 4 Excitation (uA),Bridge 1 Std. Dev. (Ohm),Bridge 2 Std. Dev. (Ohm),Bridge 3 Std. Dev. (Ohm),Bridge 4 Std. Dev. (Ohm-m),Number of Readings,Bridge 1 Resistance (Ohms),Bridge 2 Resistance (Ohms),Bridge 3 Resistance (Ohms),Bridge 4 Resistance (Ohms),Signal 1 Vin (V),Signal 2 Vin (V),Digital Inputs (code),Drive 1 Iout (mA),Drive 1 Ipower (watts),Drive 2 Iout (mA),Drive 2 Ipower (watts),Pressure (),Map 20 (),Map 21 (),Map 22 (),Map 23 (),Map 24 (),Map 25 (),Map 26 (),Map 27 (),Map 28 (),Map 29 ()
,23307714.91,4370,299.990295410156,0.108000002801418,-7.98000001907349,71.6597595214844,500,20.6743602752686,500,5.41689769744873,500,,,0.00254718965359483,0.000807202921368199,0.00106353273686284,,25,71.6597595214844,20.6743602752686,5.41689769744873,
,23307789.83,4374,298.682312011719,0.108000002801418,-7.98000001907349,73.4679641723633,500,21.0236797332764,500,5.44580913543701,500,,,0.206608047614821,0.0395829943762141,0.00337138758983401,,25,73.4679641723633,21.0236797332764,5.44580913543701,
,23307806.22,4374,297.408706665039,0.108000002801418,-7.98000001907349,75.3045446777344,500,21.3738403320313,500,5.4885551071167,500,,,0.457447056611587,0.0871493369337928,0.0146112180759749,,25,75.3045446777344,21.3738403320313,5.4885551071167,
,23307827.73,4370,295.726745605469,0.108000002801418,-7.98000001907349,79.3322927856445,500,22.1432822418213,500,5.57167186737061,500,,,0.522233573064627,0.10074982074321,0.00886677321938034,,25,79.3322927856445,22.1432822418213,5.57167186737061,
,23307870.92,4370,294.724899291992,0.108000002801418,-7.98000001907349,83.7058340454102,500,22.9871411132813,500,5.64705472946167,500,,,0.332698411517007,0.0621312377132201,0.00619425189323618,,25,83.7058340454102,22.9871411132813,5.64705472946167,
,23307900.28,4370,293.893447875977,0.108000002801418,-7.98000001907349,86.8649526977539,500,23.5740312194824,500,5.69980253219604,500,,,0.252748553357947,0.047623376262948,0.00409746699032225,,25,86.8649526977539,23.5740312194824,5.69980253219604,
,23307940.17,4370,292.699203491211,0.108000002801418,-7.98000001907349,89.1457611083984,500,23.9887756347656,500,5.74475736618042,500,,,0.284882889823135,0.0515673122076677,0.00525985974238392,,25,89.1457611083984,23.9887756347656,5.74475736618042,
,23307965.55,4370,291.804443359375,0.108000002801418,-7.98000001907349,91.5242926025391,500,24.4280781555176,500,5.78995603561401,500,,,0.239427635518874,0.043250815159994,0.00514799600658125,,25,91.5242926025391,24.4280781555176,5.78995603561401,
,23307994.77,4370,290.791458129883,0.108000002801418,-7.98000001907349,94.1256707763672,500,24.8966004180908,500,5.83825254440308,500,,,0.283921528822123,0.0511629820727652,0.00511740158062386,,25,94.1256707763672,24.8966004180908,5.83825254440308,
,23308023.91,4370,289.80500793457,0.108000002801418,-7.98000001907349,97.0253829956055,500,25.4185406494141,500,5.89321853637695,500,,,0.28751807891238,0.0515519325965162,0.00730065499686782,,25,97.0253829956055,25.4185406494141,5.89321853637695,
,23308053.72,4370,288.796051025391,0.108000002801418,-7.98000001907349,100.083740234375,500,25.9612007141113,500,5.92136215209961,500,,,0.307262209594863,0.0539089670394928,0.00445469600586869,,25,100.083740234375,25.9612007141113,5.92136215209961,
,23308083.47,4370,287.798309326172,0.108000002801418,-7.98000001907349,103.342497253418,500,26.5273278045654,500,5.97145889282227,500,,,0.321498945431257,0.0564825320192972,0.00544510185055555,,25,103.342497253418,26.5273278045654,5.97145889282227,
