wavelength,"(174, 3052)","(180, 3085)","(143, 3166)","(158, 3222)","(170, 3189)","(161, 3058)","(173, 3138)","(146, 3174)","(159, 3142)","(149, 3109)","(149, 3085)"
480.808,0.370502,0.240881,0.191439,0.136944,0.130718,0.22128,0.20063,0.241528,0.268897,0.181494,0.137055
482.435,0.362442,0.236522,0.194134,0.137546,0.149006,0.228737,0.202582,0.253712,0.303359,0.187542,0.1434
484.062,0.374733,0.244444,0.199951,0.138891,0.144145,0.236303,0.215077,0.248783,0.285401,0.195592,0.144625
485.688,0.369259,0.26286,0.212028,0.151066,0.151891,0.244632,0.206756,0.26489,0.302306,0.206674,0.156619
487.315,0.38386,0.260992,0.223324,0.161249,0.167787,0.245579,0.211961,0.280127,0.286365,0.21142,0.162695
488.942,0.378861,0.258686,0.228916,0.157376,0.165309,0.26301,0.244128,0.278444,0.312979,0.221967,0.159406
490.569,0.386896,0.270431,0.250251,0.156201,0.174273,0.2526,0.231688,0.294834,0.302801,0.209096,0.165994
492.195,0.399728,0.269892,0.245703,0.165119,0.169203,0.264859,0.232017,0.291523,0.313572,0.220498,0.189321
493.822,0.384846,0.27859,0.244803,0.161546,0.176919,0.252997,0.240703,0.295054,0.324291,0.227026,0.191987
495.449,0.382436,0.275192,0.253413,0.179174,0.190376,0.268595,0.252834,0.307378,0.321604,0.233594,0.196125
497.075,0.406694,0.281657,0.265068,0.174075,0.191136,0.268052,0.27154,0.310867,0.324832,0.248657,0.199125
498.702,0.393767,0.283863,0.25619,0.177676,0.18408,0.27803,0.257161,0.319937,0.338575,0.239654,0.207367
500.329,0.398282,0.287413,0.273365,0.185801,0.189801,0.277817,0.278019,0.322745,0.336364,0.243236,0.220192
501.956,0.399534,0.308299,0.286377,0.182643,0.196391,0.282822,0.276185,0.325221,0.345344,0.258983,0.21492
503.582,0.420586,0.293045,0.28926,0.191081,0.20213,0.300229,0.297676,0.328586,0.342938,0.258926,0.221712
505.209,0.417357,0.30602,0.279843,0.194569,0.198696,0.296738,0.287494,0.342903,0.355158,0.260246,0.222908
506.836,0.40614,0.314168,0.294026,0.193293,0.214623,0.295378,0.294698,0.345088,0.346081,0.264879,0.235814
508.463,0.420099,0.328472,0.30862,0.204585,0.212656,0.301148,0.297479,0.351359,0.367111,0.275388,0.236972
510.089,0.43286,0.325783,0.310473,0.204926,0.217508,0.298599,0.307949,0.364504,0.364008,0.279319,0.25304
511.716,0.430897,0.331846,0.31786,0.209716,0.218499,0.299312,0.307395,0.36353,0.369057,0.282822,0.259602
513.343,0.440695,0.341288,0.319549,0.208917,0.236895,0.310263,0.320505,0.378461,0.380624,0.301028,0.261724
514.97,0.449461,0.349109,0.3261,0.217677,0.23802,0.319081,0.319858,0.384677,0.375958,0.281273,0.270031
516.596,0.43523,0.34841,0.330053,0.233175,0.238591,0.326854,0.323896,0.394661,0.38508,0.310172,0.269081
518.223,0.446643,0.361305,0.341886,0.235624,0.238241,0.331047,0.344234,0.396954,0.392348,0.312257,0.286712
519.85,0.459277,0.355243,0.360558,0.240675,0.24782,0.326538,0.33944,0.406874,0.383517,0.318461,0.300145
521.477,0.464171,0.367874,0.356459,0.245192,0.254765,0.331006,0.346078,0.40349,0.405767,0.320067,0.299332
523.103,0.451219,0.368897,0.357229,0.253031,0.26791,0.33232,0.348182,0.419745,0.399606,0.331747,0.306307
524.73,0.460687,0.371953,0.36153,0.26115,0.261779,0.34267,0.353381,0.410759,0.402903,0.345125,0.319237
526.357,0.482596,0.392411,0.370303,0.268655,0.266255,0.354476,0.359642,0.421177,0.417592,0.353837,0.317874
527.984,0.486514,0.401362,0.387047,0.261849,0.271969,0.347325,0.374626,0.438569,0.415635,0.364084,0.315655
529.61,0.48771,0.402415,0.386512,0.279861,0.275135,0.343085,0.380288,0.431823,0.42463,0.364457,0.329804
