wavelength,"(1406, 2263)","(1404, 2273)","(1411, 2282)","(1404, 2295)","(1411, 2310)","(1404, 2317)","(1415, 2298)","(1404, 2306)","(1411, 2321)","(1404, 2285)"
492.195,0.234007,0.227154,0.203243,0.225896,0.212673,0.228245,0.225598,0.232021,0.227397,0.228135
493.822,0.21635,0.229346,0.200728,0.227544,0.223858,0.237861,0.222601,0.228036,0.221674,0.228425
495.449,0.212883,0.243375,0.192959,0.221279,0.216483,0.23601,0.212865,0.23673,0.221171,0.215468
497.075,0.226663,0.233661,0.204317,0.230043,0.21359,0.236571,0.222852,0.229021,0.222785,0.221718
498.702,0.238139,0.23418,0.203985,0.223403,0.217574,0.236259,0.22552,0.236721,0.231544,0.231817
500.329,0.218374,0.239382,0.202597,0.230302,0.224685,0.225574,0.221335,0.229776,0.222148,0.219147
501.956,0.222982,0.234518,0.189969,0.231294,0.217294,0.236497,0.222693,0.22565,0.223599,0.226865
503.582,0.226176,0.237038,0.204571,0.228182,0.214195,0.221968,0.214731,0.223254,0.220705,0.220974
505.209,0.226825,0.235343,0.201573,0.225084,0.214266,0.228015,0.215554,0.219849,0.223717,0.230465
506.836,0.224944,0.23602,0.190893,0.221697,0.21858,0.239378,0.220677,0.221012,0.219666,0.227828
508.463,0.227874,0.231631,0.19807,0.227605,0.217704,0.217674,0.225066,0.223244,0.218968,0.212722
510.089,0.22177,0.226357,0.194704,0.225632,0.214794,0.228596,0.211589,0.231099,0.234231,0.229055
511.716,0.220663,0.239202,0.196066,0.218028,0.219837,0.233698,0.223557,0.228712,0.216698,0.230374
513.343,0.224946,0.223625,0.201725,0.212214,0.209403,0.212851,0.219684,0.226685,0.223313,0.215855
514.97,0.228598,0.233864,0.19979,0.236739,0.214405,0.221243,0.213272,0.227179,0.226676,0.216637
516.596,0.221648,0.236547,0.196292,0.215745,0.218095,0.219059,0.212483,0.225808,0.230899,0.207698
518.223,0.217472,0.243282,0.198652,0.226029,0.218931,0.227172,0.218611,0.2318,0.220823,0.216621
519.85,0.224454,0.236238,0.190573,0.225369,0.211793,0.233946,0.213675,0.225956,0.21817,0.221657
521.477,0.237999,0.230101,0.196616,0.226509,0.219707,0.210115,0.218375,0.210404,0.219422,0.217379
523.103,0.223674,0.233948,0.185148,0.212203,0.210953,0.224473,0.219386,0.224759,0.229829,0.222074
524.73,0.226086,0.240038,0.204622,0.213846,0.203734,0.214406,0.213896,0.209928,0.224846,0.208234
526.357,0.225383,0.235446,0.198076,0.210489,0.206718,0.214996,0.209717,0.220549,0.226885,0.21649
527.984,0.217553,0.235583,0.193813,0.230886,0.222133,0.218844,0.217441,0.229428,0.222347,0.209638
529.61,0.221055,0.236936,0.195222,0.220291,0.218335,0.22756,0.216297,0.22598,0.214967,0.212244
531.237,0.219934,0.233884,0.190152,0.235673,0.207828,0.227596,0.220568,0.22279,0.215101,0.212741
532.864,0.213072,0.232632,0.191001,0.212755,0.21913,0.215352,0.221347,0.215452,0.21613,0.223955
534.491,0.234949,0.235504,0.191475,0.220397,0.219843,0.225824,0.224284,0.220544,0.218732,0.223292
536.117,0.21547,0.223774,0.192693,0.22074,0.210461,0.222763,0.217904,0.220403,0.21792,0.210596
537.744,0.227092,0.23223,0.188713,0.228177,0.216443,0.225962,0.225078,0.225066,0.218536,0.220571
539.371,0.220481,0.231235,0.194027,0.223073,0.212055,0.227475,0.218595,0.225182,0.213148,0.219291
540.997,0.224138,0.227438,0.200896,0.218192,0.216744,0.222904,0.217268,0.217569,0.220915,0.221537
542.624,0.223152,0.233382,0.187386,0.225848,0.215115,0.233554,0.211396,0.22094,0.204185,0.220878
544.251,0.234296,0.2331,0.194034,0.229578,0.202527,0.224613,0.221312,0.2216,0.213823,0.215717
545.878,0.224522,0.227019,0.201419,0.225494,0.212565,0.219139,0.216058,0.222655,0.2311,0.216267
547.504,0.225102,0.22048,0.186509,0.227556,0.21108,0.224251,0.213153,0.227175,0.214375,0.211468
549.131,0.217628,0.228449,0.18934,0.224614,0.212739,0.22078,0.213699,0.222634,0.217335,0.222208
550.758,0.224811,0.227305,0.197473,0.217455,0.214594,0.221712,0.217305,0.214617,0.231634,0.213811
552.385,0.221512,0.233919,0.188216,0.220354,0.210947,0.229425,0.221266,0.212366,0.219564,0.216191
554.011,0.22411,0.226666,0.190886,0.228242,0.214814,0.222268,0.228264,0.224301,0.208199,0.222264
555.638,0.220655,0.226552,0.193653,0.214792,0.203906,0.227463,0.21337,0.231397,0.21546,0.216409
557.265,0.228253,0.241842,0.183388,0.210809,0.207327,0.225425,0.214802,0.227554,0.222573,0.215566
558.892,0.217239,0.22374,0.195254,0.212858,0.21005,0.223418,0.211183,0.218098,0.223569,0.219364
560.518,0.223522,0.228004,0.183091,0.211364,0.211299,0.222976,0.216582,0.224931,0.215193,0.211539
562.145,0.224461,0.220194,0.192781,0.221492,0.206224,0.213665,0.214106,0.216143,0.210226,0.221478
563.772,0.218596,0.22943,0.192792,0.217643,0.214163,0.219504,0.216561,0.212951,0.219639,0.209402
565.399,0.225927,0.233641,0.190097,0.223265,0.207437,0.220814,0.218946,0.224222,0.215595,0.205994
567.025,0.224929,0.235328,0.190206,0.220741,0.223065,0.225793,0.216354,0.22245,0.218371,0.217829
568.652,0.217259,0.22591,0.193502,0.220297,0.209561,0.224855,0.211226,0.222482,0.215449,0.214741
570.279,0.217404,0.230634,0.185321,0.212667,0.210612,0.226758,0.21147,0.220831,0.218451,0.207863
571.906,0.224111,0.234795,0.190684,0.216509,0.217238,0.216065,0.210586,0.216657,0.215588,0.220249
573.532,0.224057,0.23341,0.19441,0.21333,0.207111,0.216921,0.215215,0.211205,0.217046,0.210209
575.159,0.225761,0.220436,0.191443,0.220436,0.211958,0.220725,0.21616,0.219099,0.216362,0.215843
576.786,0.214207,0.234158,0.196259,0.210239,0.210315,0.22152,0.208243,0.2192,0.210315,0.213084
578.412,0.222424,0.231419,0.192374,0.222552,0.209289,0.222133,0.216383,0.225589,0.218579,0.221486
580.039,0.224453,0.232694,0.188448,0.213289,0.220466,0.228237,0.216968,0.216478,0.222365,0.209479
581.666,0.223793,0.240565,0.192418,0.219183,0.205929,0.220735,0.214264,0.213416,0.224719,0.218026
583.293,0.221211,0.223136,0.187178,0.215477,0.210846,0.21641,0.205194,0.220872,0.213735,0.213546
584.919,0.223045,0.232687,0.192752,0.21544,0.210269,0.220947,0.209844,0.218935,0.212874,0.214152
586.546,0.224588,0.227408,0.185783,0.218729,0.205857,0.219678,0.220155,0.218106,0.214353,0.211144
588.173,0.225426,0.230634,0.191312,0.215225,0.206425,0.218555,0.212517,0.217347,0.225147,0.209342
589.8,0.219013,0.224243,0.195292,0.216524,0.218403,0.223818,0.20645,0.22022,0.210909,0.209997
