wavelength,"(877, 2902)","(845, 3248)","(815, 3120)","(851, 3113)","(822, 3072)","(851, 3182)","(790, 3304)","(842, 3010)","(860, 3073)","(842, 2948)"
492.195,0.246118,0.292101,0.187153,0.298497,0.40554,0.405502,0.344649,0.244186,0.209104,0.390721
493.822,0.25108,0.294296,0.18844,0.310573,0.402664,0.420397,0.339052,0.255614,0.224938,0.412391
495.449,0.254056,0.304923,0.194176,0.324047,0.410381,0.437604,0.359987,0.244341,0.221799,0.415236
497.075,0.259385,0.29746,0.193634,0.328675,0.431692,0.429646,0.354218,0.25698,0.221215,0.422772
498.702,0.259439,0.324317,0.195701,0.332142,0.412244,0.4402,0.343228,0.264564,0.249292,0.429862
500.329,0.268652,0.30637,0.193691,0.34179,0.425041,0.44687,0.36841,0.26311,0.241383,0.446786
501.956,0.269285,0.317454,0.197939,0.346785,0.430153,0.449765,0.377242,0.265605,0.234967,0.445104
503.582,0.279031,0.325731,0.21302,0.359172,0.436065,0.451017,0.376496,0.274976,0.247212,0.442141
505.209,0.277101,0.327966,0.203073,0.354744,0.442341,0.456655,0.382953,0.284558,0.247803,0.437342
506.836,0.292021,0.335499,0.216072,0.34599,0.436948,0.465963,0.377123,0.28916,0.255664,0.447503
508.463,0.290789,0.337389,0.225215,0.36385,0.452357,0.466299,0.392493,0.290913,0.267347,0.462052
510.089,0.30245,0.337687,0.225687,0.36989,0.447286,0.481258,0.39015,0.293959,0.261206,0.468709
511.716,0.289682,0.338932,0.23495,0.372773,0.455672,0.469391,0.39775,0.290141,0.273886,0.461007
513.343,0.316601,0.345426,0.241803,0.382991,0.460082,0.489828,0.404747,0.299415,0.277239,0.485914
514.97,0.315026,0.355207,0.246225,0.392684,0.45156,0.492946,0.400412,0.317746,0.285354,0.480389
516.596,0.317928,0.357926,0.24583,0.371991,0.455283,0.507597,0.402557,0.311581,0.288347,0.48697
518.223,0.317362,0.369479,0.254877,0.390025,0.466194,0.501179,0.415286,0.320414,0.296449,0.492746
519.85,0.338469,0.361993,0.261754,0.397234,0.478757,0.495994,0.426518,0.327009,0.301127,0.503162
521.477,0.332849,0.369004,0.277159,0.409373,0.4804,0.516478,0.41988,0.337518,0.303821,0.508812
523.103,0.344134,0.372983,0.272512,0.404545,0.477626,0.515353,0.422141,0.343504,0.308017,0.511591
524.73,0.347926,0.382506,0.28394,0.414023,0.489372,0.527819,0.426419,0.35241,0.303044,0.51467
