wavelength,"(1238, 2114)","(1233, 2131)","(1237, 2146)","(1241, 2169)","(1233, 2151)","(1244, 2137)","(1237, 2178)","(1235, 2164)","(1245, 2153)","(1240, 2126)"
399.471,0.379213,0.377778,0.48324,0.373259,0.313889,0.381356,0.368715,0.393258,0.383523,0.430556
401.098,0.358491,0.368794,0.283063,0.228774,0.338061,0.333333,0.324826,0.355769,0.279236,0.353488
402.725,0.324165,0.3,0.298246,0.360396,0.292157,0.394477,0.335283,0.349112,0.336653,0.380117
404.351,0.358678,0.304132,0.266447,0.30198,0.309091,0.293333,0.315789,0.254967,0.328881,0.340946
405.978,0.344147,0.301543,0.232493,0.25452,0.26087,0.284703,0.284314,0.305085,0.294118,0.300554
407.605,0.240876,0.251208,0.25,0.210909,0.233092,0.281327,0.261962,0.286935,0.274847,0.284698
409.232,0.26875,0.261094,0.240702,0.277778,0.266254,0.257796,0.225207,0.224192,0.233438,0.324716
410.858,0.284804,0.232642,0.209721,0.215564,0.268711,0.246168,0.193519,0.236249,0.274492,0.292185
412.485,0.254157,0.233438,0.236551,0.211978,0.229495,0.248006,0.171677,0.226115,0.22996,0.325472
414.112,0.269986,0.228291,0.202239,0.20615,0.214986,0.214134,0.230231,0.205799,0.210976,0.284819
415.738,0.233881,0.204159,0.181305,0.234668,0.251418,0.202548,0.212673,0.181531,0.231949,0.256554
417.365,0.236103,0.216553,0.205597,0.223796,0.236961,0.249141,0.216448,0.219484,0.229527,0.281777
418.992,0.234529,0.217975,0.20165,0.189189,0.228822,0.226258,0.171738,0.200632,0.221281,0.269866
420.619,0.242221,0.245229,0.206304,0.216627,0.240935,0.2125,0.215855,0.184387,0.20292,0.270142
422.245,0.238938,0.222757,0.194481,0.194493,0.233698,0.211718,0.199737,0.202047,0.228133,0.24195
423.872,0.238348,0.218559,0.212809,0.209691,0.224257,0.226137,0.218079,0.19102,0.215353,0.271475
425.499,0.246758,0.214421,0.19102,0.22277,0.227704,0.235046,0.218417,0.226458,0.228374,0.240796
427.126,0.270706,0.186949,0.19646,0.228531,0.214815,0.199784,0.204248,0.213009,0.232634,0.261603
428.752,0.259147,0.229028,0.20796,0.199667,0.229361,0.217435,0.222554,0.210064,0.247697,0.271315
430.379,0.252723,0.21874,0.202849,0.22965,0.222153,0.223801,0.191391,0.179343,0.24629,0.267079
432.006,0.270208,0.244226,0.211001,0.228399,0.235277,0.232817,0.229045,0.187937,0.207686,0.239619
433.633,0.247037,0.228398,0.233015,0.233017,0.231033,0.217611,0.219214,0.205101,0.256959,0.236097
435.259,0.254462,0.241479,0.22061,0.216578,0.242205,0.226994,0.240445,0.203486,0.225117,0.255411
