'y-axis saved as y
'x,PDC_LDFZ_20201113_1_217_2_(PBF1_20201110)-4hr-PbTiO3-second-cut-of-grown-crystal.raw,Ycalc,Diff
9.14671841,12086,0,0
9.16385361,12055,0,0
9.18098881,11985,0,0
9.19812401,12041,0,0
9.21525921,11773,0,0
9.23239441,11737,0,0
9.24952961,11825,0,0
9.26666481,11763,0,0
9.28380001,11627,0,0
9.30093521,11668,0,0
9.31807041,11535,0,0
9.33520561,11542,0,0
9.35234081,11445,0,0
9.36947601,11458,0,0
9.38661121,11241,0,0
9.40374641,11225,0,0
9.42088161,11189,0,0
9.43801681,10907,0,0
9.45515201,11042,0,0
9.47228721,11174,0,0
9.48942241,11048,0,0
9.50655761,11046,0,0
9.52369281,11053,0,0
9.54082801,10847,0,0
9.55796321,10778,0,0
9.57509841,10614,0,0
9.59223361,10749,0,0
9.60936881,10623,0,0
9.62650401,10578,0,0
9.64363921,10470,0,0
9.66077441,10462,0,0
9.67790961,10485,0,0
9.69504481,10430,0,0
9.71218001,10067,0,0
9.72931521,10210,0,0
9.74645041,10232,0,0
9.76358561,10162,0,0
9.78072081,10082,0,0
9.79785601,10008,0,0
9.81499121,10181,0,0
9.83212641,9968,0,0
9.84926161,9988,0,0
9.86639681,9938,0,0
9.88353201,9997,0,0
9.90066721,10025,0,0
9.91780241,9902,0,0
9.93493761,9867,0,0
9.95207281,9930,0,0
9.96920801,9881,0,0
9.98634321,9817,0,0
10.0034784,9677,0,0
10.0206136,9827,0,0
10.0377488,9576,0,0
10.054884,9632,0,0
10.0720192,9626,0,0
10.0891544,9555,0,0
10.1062896,9453,0,0
10.1234248,9467,0,0
10.14056,9408,0,0
10.1576952,9431,0,0
10.1748304,9550,0,0
10.1919656,9247,0,0
10.2091008,9263,0,0
10.226236,9312,0,0
10.2433712,9193,0,0
10.2605064,9139,0,0
10.2776416,9264,0,0
10.2947768,9042,0,0
10.311912,8988,0,0
10.3290472,9226,0,0
10.3461824,9015,0,0
10.3633176,9157,0,0
10.3804528,9095,0,0
10.397588,9113,0,0
10.4147232,9104,0,0
10.4318584,9058,0,0
10.4489936,8981,0,0
10.4661288,8971,0,0
10.483264,8918,0,0
10.5003992,8816,0,0
10.5175344,8892,0,0
10.5346696,8805,0,0
10.5518048,8619,0,0
10.56894,8772,0,0
10.5860752,8645,0,0
10.6032104,8704,0,0
10.6203456,8694,0,0
10.6374808,8581,0,0
10.654616,8554,0,0
10.6717512,8552,0,0
10.6888864,8660,0,0
10.7060216,8543,0,0
10.7231568,8520,0,0
10.740292,8492,0,0
10.7574272,8383,0,0
10.7745624,8491,0,0
10.7916976,8523,0,0
10.8088328,8340,0,0
10.825968,8327,0,0
10.8431032,8656,0,0
10.8602384,8434,0,0
10.8773736,8253,0,0
10.8945088,8422,0,0
10.911644,8384,0,0
10.9287792,8346,0,0
10.9459144,8562,0,0
10.9630496,8377,0,0
10.9801848,8491,0,0
10.99732,8422,0,0
11.0144552,8523,0,0
11.0315904,8443,0,0
11.0487256,8564,0,0
11.0658608,8473,0,0
11.082996,8427,0,0
11.1001312,8605,0,0
11.1172664,8446,0,0
11.1344016,8462,0,0
11.1515368,8432,0,0
11.168672,8570,0,0
11.1858072,8194,0,0
11.2029424,8412,0,0
11.2200776,8282,0,0
11.2372128,8476,0,0
11.254348,8373,0,0
11.2714832,8435,0,0
11.2886184,8493,0,0
11.3057536,8414,0,0
11.3228888,8283,0,0
11.340024,8347,0,0
11.3571592,8340,0,0
11.3742944,8196,0,0
11.3914296,8405,0,0
11.4085648,8362,0,0
11.4257,8221,0,0
11.4428352,8232,0,0
11.4599704,8260,0,0
11.4771056,8157,0,0
11.4942408,8325,0,0
11.511376,8164,0,0
11.5285112,8248,0,0
11.5456464,7912,0,0
11.5627816,8056,0,0
11.5799168,8182,0,0
11.597052,8292,0,0
11.6141872,8124,0,0
11.6313224,8042,0,0
11.6484576,7971,0,0
11.6655928,8111,0,0
11.682728,8045,0,0
11.6998632,7888,0,0
11.7169984,7937,0,0
11.7341336,7949,0,0
11.7512688,8050,0,0
11.768404,8013,0,0
11.7855392,7999,0,0
11.8026744,7749,0,0
11.8198096,7842,0,0
11.8369448,7832,0,0
11.85408,7728,0,0
11.8712152,7869,0,0
11.8883504,7820,0,0
11.9054856,7766,0,0
11.9226208,7450,0,0
11.939756,7643,0,0
11.9568912,7656,0,0
11.9740264,7512,0,0
11.9911616,7559,0,0
12.0082968,7532,0,0
12.025432,7554,0,0
12.0425672,7502,0,0
12.0597024,7515,0,0
12.0768376,7432,0,0
12.0939728,7464,0,0
12.111108,7342,0,0
12.1282432,7471,0,0
12.1453784,7361,0,0
12.1625136,7206,0,0
12.1796488,7354,0,0
12.196784,7245,0,0
12.2139192,7168,0,0
12.2310544,7198,0,0
12.2481896,7237,0,0
12.2653248,7310,0,0
12.28246,6963,0,0
12.2995952,7010,0,0
12.3167304,7054,0,0
12.3338656,7019,0,0
12.3510008,6801,0,0
12.368136,6795,0,0
12.3852712,6846,0,0
12.4024064,6752,0,0
12.4195416,6747,0,0
12.4366768,6808,0,0
12.453812,6701,0,0
12.4709472,6501,0,0
12.4880824,6714,0,0
12.5052176,6783,0,0
12.5223528,6717,0,0
12.539488,6693,0,0
12.5566232,6417,0,0
12.5737584,6470,0,0
12.5908936,6360,0,0
12.6080288,6462,0,0
12.625164,6483,0,0
12.6422992,6427,0,0
12.6594344,6367,0,0
12.6765696,6349,0,0
12.6937048,6332,0,0
12.71084,6371,0,0
12.7279752,6225,0,0
12.7451104,6322,0,0
12.7622456,6297,0,0
12.7793808,6351,0,0
12.796516,6406,0,0
